,country,Coastline
0,Canada,265523.0
1,Norway,53199.0
2,Indonesia,95181.0
3,Russia,110310.0
4,Philippines,33900.0
5,Japan,29020.0
6,Australia,66530.0
7,United States,133312.0
8,New Zealand,17209.0
9,China,30017.0
10,Greece,15147.0
11,United Kingdom,19717.0
12,Mexico,23761.0
13,Italy,9226.0
14,Denmark,5316.0
15,Brazil,33379.0
16,Turkey,8140.0
17,India,17181.0
18,Chile,78563.0
19,Micronesia,1295.0
20,Croatia,5664.0
21,Solomon Islands,9880.0
22,Papua New Guinea,20197.0
23,Argentina,8397.0
24,Iceland,8506.0
25,Spain,7268.0
26,France,7330.0
27,Madagascar,9935.0
28,Malaysia,9323.0
29,Estonia,2956.0
30,Cuba,14519.0
31,Bahamas,11238.0
32,Vietnam,11409.0
33,Somalia,3898.0
34,Thailand,7066.0
35,Sweden,26384.0
36,Colombia,5875.0
37,Morocco,2009.0
38,Venezuela,6762.0
39,South Africa,3751.0
40,Ukraine,4953.0
41,Saudi Arabia,7572.0
42,Vanuatu,3132.0
43,French Polynesia,5830.0
44,North Korea,4009.0
45,Panama,5637.0
46,Mozambique,6942.0
47,Egypt,5898.0
48,Iran,5891.0
49,Peru,3362.0
50,South Korea,12478.0
51,Germany,3624.0
52,New Caledonia,3624.0
53,Ecuador,4597.0
54,Eritrea,3446.0
55,Oman,2810.0
56,Myanmar,14708.0
57,Yemen,3149.0
58,Portugal,2830.0
59,Haiti,1977.0
60,Libya,2025.0
61,Angola,2252.0
62,Namibia,1754.0
63,Taiwan,2007.0
64,Ireland,6437.0
65,Tanzania,3461.0
66,Sri Lanka,2825.0
67,United Arab Emirates,2871.0
68,Costa Rica,2069.0
69,Dominican Republic,1612.0
70,Finland,31119.0
71,Tunisia,1927.0
72,Kiribati,1961.0
73,Fiji,4638.0
74,Pakistan,2599.0
75,Jamaica,895.0
76,Algeria,1557.0
77,Cape Verde,1121.0
78,Nicaragua,1915.0
79,Gabon,2019.0
80,Nigeria,3122.0
81,Sudan,2245.0
82,Honduras,1878.0
83,Mauritania,1268.0
84,Hong Kong,955.0
85,Uruguay,1096.0
86,Cyprus,671.0
87,Maldives,2002.0
88,Bangladesh,3306.0
89,Liberia,842.0
90,Qatar,909.0
91,Ghana,758.0
92,Kenya,1586.0
93,Senegal,1327.0
94,Ivory Coast,797.0
95,Puerto Rico,1094.0
96,Kuwait,756.0
97,Latvia,566.0
98,Seychelles,747.0
99,Guyana,1154.0
100,Netherlands,1914.0
101,Cambodia,1127.0
102,Poland,1032.0
103,Tonga,909.0
104,Samoa,463.0
105,Cameroon,1799.0
106,Sierra Leone,1677.0
107,Guatemala,445.0
108,Belize,1996.0
109,Suriname,620.0
110,Marshall Islands,2106.0
111,Albania,649.0
112,Trinidad and Tobago,704.0
113,Bulgaria,457.0
114,Guinea-Bissau,3176.0
115,Comoros,469.0
116,Guinea,1615.0
117,Djibouti,443.0
118,Georgia,376.0
119,El Salvador,756.0
120,Equatorial Guinea,603.0
121,Israel,205.0
122,Malta,198.0
123,Lebanon,294.0
124,Romania,696.0
125,São Tomé and Príncipe,269.0
126,Singapore,268.0
127,Syria,212.0
128,U.S. Virgin Islands,390.0
129,Mauritius,496.0
130,"Congo, Republic of the",205.0
131,Bahrain,255.0
132,Brunei,269.0
133,Saint Lucia,166.0
134,Antigua and Barbuda,289.0
135,Dominica,152.0
136,Benin,153.0
137,Grenada,252.0
138,Bermuda,180.0
139,Barbados,97.0
140,Lithuania,258.0
141,Saint Vincent and the Grenadines,264.0
142,Gambia,503.0
143,Aruba,107.0
144,Belgium,76.0
145,Iraq,105.0
146,Togo,53.0
147,Slovenia,41.0
148,Macau,36.0
149,"Congo, Democratic Republic of the",177.0
150,Jordan,27.0
151,Bosnia and Herzegovina,23.0
152,Kazakhstan,4528.0
153,Turkmenistan,1289.0
154,Azerbaijan,871.0
155,Afghanistan,0.0
156,Armenia,0.0
157,Austria,0.0
158,Belarus,0.0
159,Bhutan,0.0
160,Bolivia,0.0
161,Botswana,0.0
162,Burkina Faso,0.0
163,Burundi,0.0
164,Central African Republic,0.0
165,Chad,0.0
166,Czech Republic,0.0
167,Ethiopia,0.0
168,Hungary,0.0
169,Kyrgyzstan,0.0
170,Laos,0.0
171,Lesotho,0.0
172,Luxembourg,0.0
173,Malawi,0.0
174,Mali,0.0
175,Moldova,0.0
176,Mongolia,0.0
177,Nepal,0.0
178,Niger,0.0
179,North Macedonia,0.0
180,Paraguay,0.0
181,Rwanda,0.0
182,Slovakia,0.0
183,Swaziland,0.0
184,Switzerland,0.0
185,Tajikistan,0.0
186,Uganda,0.0
187,Uzbekistan,1707.0
188,Zambia,0.0
189,Zimbabwe,0.0
190,French Guiana,763.0
191,Guadeloupe,581.0
192,Martinique,369.0
193,Caribbean Netherlands,361.0
194,Réunion,219.0
